Beach Name,Month,Year,tavg,tmin,tmax,prcp,wdir,wspd,pres,Footfall,Wave Height (m),Ocean Currents (m/s),Swell Height (m),Storm Surge,Tsunami Alerts,Humidity (%),UV Index,Risk Score,Risk
Diu Beach,Aug,2022,0.630328442,0.826771654,0.482861401,0.110383797,0.777470606,0.717867232,0.168269231,0.181818182,0.352941176,0.397058824,0.466666667,0,0,0.542857143,0.142857143,0.119187691,Low
Dhanushkodi Beach,Jul,2023,0.84416492,0.797244094,0.7585693,0.005391855,0.627152516,0.742937853,0.468406593,0.181818182,0.705882353,0.507352941,0.666666667,1,1,0.628571429,0.428571429,0.770040943,High
Gokarna Beach,Apr,2022,0.756813417,0.748031496,0.744411326,0.026521557,0.749358825,0.208333333,0.476648352,0.454545455,0.294117647,0.360294118,0.433333333,0,0,0.2,0.714285714,0.15422967,Low
Tarkarli Beach,Nov,2022,0.613556953,0.651574803,0.600596125,0.003123694,0.284848283,0.254237288,0.706043956,0.636363636,0.411764706,0.360294118,0.433333333,0,0,0.2,0.571428571,0.190339423,Low
Tarkarli Beach,Sep,2023,0.543675751,0.716535433,0.345007452,0.178329122,0.758585085,0.485875706,0.518543956,0.272727273,0.411764706,0.433823529,0.533333333,0,0,0.428571429,0.428571429,0.148543374,Low
Diu Beach,Apr,2022,0.733053809,0.819553806,0.68852459,0,0.831862239,0.51200565,0.504120879,0.363636364,0.294117647,0.397058824,0.4,0,0,0.142857143,0.857142857,0.144489641,Low
Candolim Beach,Jan,2023,0.531795947,0.49343832,0.618479881,0,0.504679746,0.451624294,0.807005495,0.727272727,0.235294118,0.286764706,0.333333333,0,0,0.228571429,0.142857143,0.176451453,Low
Puri Beach,Aug,2022,0.788259958,0.895013123,0.618479881,0.203258988,0.616427406,0.294844633,0.056318681,0.090909091,0.529411765,0.470588235,0.666666667,0,0,0.571428571,0.285714286,0.134552795,Low
Candolim Beach,Aug,2022,0.583508036,0.711942257,0.431445604,0.184258172,0.866668887,0.427259887,0.418956044,0.090909091,0.352941176,0.360294118,0.333333333,0,0,0.571428571,0.571428571,0.104716504,Low
Tarkarli Beach,Feb,2023,0.65758211,0.585301837,0.775707899,0,0.669653266,0.498940678,0.748626374,0.545454545,0.352941176,0.360294118,0.466666667,0,0,0.2,0.714285714,0.177976046,Low
Alleppey Beach,Dec,2023,0.604472397,0.681102362,0.629657228,0.071825073,0.293341771,0.248587571,0.679258242,0.909090909,0.529411765,0.176470588,0.233333333,1,1,0.6,0.5,0.823639992,High
Gokarna Beach,Aug,2022,0.506638714,0.675853018,0.356184799,0.473727144,0.857942244,0.411723164,0.402472527,0.090909091,0.352941176,0.397058824,0.466666667,0,0,0.571428571,0.142857143,0.112344506,Low
Agonda Beach,May,2022,0.946191474,0.887139108,0.837555887,0.086588011,0.928721314,0.442443503,0.393543956,0.272727273,0.152941176,0.448529412,0.453333333,0,0,0.197142857,0.297142857,0.117879572,Low
Kovalam Beach,Nov,2022,0.645003494,0.643044619,0.534277198,0.123555043,0.739366486,0.100282486,0.650412088,0.636363636,0.235294118,0.360294118,0.4,0,0,0.342857143,0.571428571,0.176682819,Low
Tarkarli Beach,Apr,2023,0.751921733,0.780839895,0.722056632,0,0.921460214,0.555437853,0.57967033,0.363636364,0.470588235,0.470588235,0.6,0,0,0.057142857,1,0.17524672,Low
Gokarna Beach,Oct,2022,0.580712788,0.604986877,0.558122206,0.074511052,0.435366219,0.19950565,0.578296703,0.363636364,0.235294118,0.323529412,0.366666667,0,0,0.371428571,0.428571429,0.129253685,Low
Tarkarli Beach,Apr,2022,0.725366876,0.875984252,0.461997019,0.003183383,0.875495453,0.296963277,0.526098901,0.363636364,0.411764706,0.470588235,0.533333333,0,0,0,0.857142857,0.16205575,Low
Dhanushkodi Beach,Mar,2022,0.752620545,0.858923885,0.683308495,0.00443684,0.251740332,0.466101695,0.574862637,0.363636364,0.352941176,0.323529412,0.4,0,0,0.342857143,0.571428571,0.142821735,Low
Alleppey Beach,Mar,2023,0.677148847,0.658792651,0.816691505,0.035295756,0.569463411,0.270480226,0.68543956,0.272727273,0.176470588,0.691176471,0.333333333,1,1,0.114285714,0.428571429,0.72959961,High
Agonda Beach,Oct,2023,0.7267645,0.765748031,0.740685544,0.06297129,0.426772808,0.308968927,0.721840659,0.363636364,0.611764706,0.919117647,0.066666667,0,1,0.256571429,0.282857143,0.498650242,Medium
Puri Beach,Sep,2023,0.772886094,0.854330709,0.638599106,0.177135353,0.638343936,0.341454802,0.190247253,0.181818182,0.529411765,0.470588235,0.666666667,0,0,0.542857143,0.571428571,0.153110628,Low
Kovalam Beach,Jul,2022,0.610062893,0.663385827,0.492548435,0.094148545,0.955600706,0.383474576,0.503434066,0,0.647058824,0.580882353,0.733333333,1,1,1,0.285714286,0.746563193,High
Palolem Beach,Jan,2023,0.739343117,0.402887139,0.742175857,0,0.461912534,0.451624294,0.798763736,0.727272727,0.235294118,0.323529412,0.4,0,0,0.285714286,0.428571429,0.186905573,Low
Kovalam Beach,Feb,2022,0.70580014,0.641732283,0.609538003,0.153200294,0.802751224,0.117584746,0.620192308,0.727272727,0.235294118,0.397058824,0.4,0,0,0.485714286,0.428571429,0.192328657,Low
Candolim Beach,Sep,2023,0.58490566,0.760498688,0.481371088,0.233978632,0.83729141,0.430437853,0.520604396,0.454545455,0.294117647,0.360294118,0.3,0,0,0.514285714,0.428571429,0.152005171,Low
Tarkarli Beach,Jan,2023,0.510831586,0.510498688,0.558122206,0,0.624354661,0.545550847,0.816620879,0.636363636,0.294117647,0.286764706,0.4,0,0,0.257142857,0.571428571,0.178242642,Low
Marina Beach,Jan,2022,0.475890985,0.545275591,0.411326379,0.024452359,0.153548946,0.199858757,0.821428571,0.909090909,0.294117647,0.397058824,0.533333333,0,0,0.2,0.571428571,0.229801034,Low
Alleppey Beach,Nov,2022,0.49825297,0.589895013,0.55290611,0.109826705,0.227991873,0.074858757,0.688873626,0.727272727,0.470588235,0.617647059,0.333333333,0,1,0.485714286,0.142857143,0.536138072,Medium
Mandarmani Beach,Apr,2023,0.765199161,0.765091864,0.788375559,0.025268101,0.649235586,0.417725989,0.483516484,0.272727273,0.235294118,0.544117647,0.466666667,1,0,0.342857143,0.714285714,0.417916553,Medium
Puri Beach,Jul,2022,0.782669462,0.871391076,0.611773472,0.315314061,0.61243047,0.249646893,0,0,0.764705882,0.544117647,0.866666667,1,1,0.714285714,0.428571429,0.75907856,High
Mandarmani Beach,Oct,2023,0.617749825,0.673228346,0.54247392,0.113786037,0.522832495,0.376059322,0.617445055,0.545454545,0.294117647,0.470588235,0.533333333,1,0,0.342857143,0.428571429,0.460383082,Medium
Agonda Beach,Nov,2022,0.838574423,0.573490814,0.810730253,0.012932492,0.153715485,0.207274011,0.695054945,0.818181818,0.617647059,0.632352941,0.326666667,0,1,0.532285714,0.175714286,0.562439924,Medium
Palolem Beach,Sep,2022,0.687631027,0.68832021,0.523845007,0.207914685,0.786563635,0.331920904,0.54739011,0.181818182,0.411764706,0.360294118,0.533333333,0,0,0.485714286,0.285714286,0.128817866,Low
Gokarna Beach,Jul,2023,0.509433962,0.679790026,0.289120715,0.981138457,0.799920061,0.618644068,0.554258242,0,0.588235294,0.507352941,0.6,1,1,0.628571429,0.285714286,0.745766754,High
Tarkarli Beach,Nov,2023,0.652690426,0.687664042,0.642324888,0.025407374,0.456250208,0.395833333,0.721840659,0.636363636,0.470588235,0.323529412,0.466666667,0,0,0.257142857,0.714285714,0.19880304,Low
Gokarna Beach,Nov,2022,0.622641509,0.587926509,0.735469449,0.030978293,0.20610865,0.195974576,0.625686813,0.636363636,0.352941176,0.397058824,0.433333333,0,0,0.257142857,0.571428571,0.188024266,Low
Tarkarli Beach,Aug,2023,0.551362683,0.709973753,0.344262295,0.112572372,0.86193918,0.52789548,0.630494505,0.181818182,0.529411765,0.507352941,0.666666667,0,0,0.485714286,0.285714286,0.153765397,Low
Marina Beach,Jul,2023,0.783368274,0.828740157,0.774962742,0.084339747,0.724278053,0.385240113,0.334478022,0,0.705882353,0.764705882,0.933333333,1,1,0.771428571,0.285714286,0.768769531,High
Dhanushkodi Beach,May,2022,0.867225716,0.987532808,0.767511177,0.019896142,0.584385305,0.73940678,0.322802198,0.181818182,0.529411765,0.470588235,0.533333333,1,0,0.2,0.857142857,0.428288575,Medium
Puri Beach,Sep,2022,0.776380154,0.861548556,0.647540984,0.177135353,0.481697365,0.27259887,0.278159341,0.181818182,0.470588235,0.397058824,0.533333333,0,0,0.485714286,0.428571429,0.134842276,Low
Palolem Beach,Nov,2023,0.725366876,0.734908136,0.769746647,0.093909791,0.107750724,0.32450565,0.710164835,0.636363636,0.294117647,0.323529412,0.466666667,0,0,0.342857143,0.428571429,0.182093089,Low
Palolem Beach,May,2023,0.977638015,0.880577428,0.859165425,0.00974911,0.956999634,0.542019774,0.588598901,0.363636364,0.588235294,0.507352941,0.733333333,1,0,0.514285714,0.714285714,0.474116592,Medium
Mandarmani Beach,Dec,2022,0.196366177,0.169947507,0.27123696,5.97E-05,0.721480199,0.165607345,0.868131868,0.727272727,0.058823529,0.25,0.266666667,0,0,0.342857143,0.428571429,0.160363945,Low
Tarkarli Beach,Mar,2023,0.691823899,0.676509186,0.742175857,5.97E-05,0.677647137,0.598163842,0.70260989,0.454545455,0.411764706,0.433823529,0.533333333,0,0,0.114285714,0.857142857,0.178370409,Low
Baga Beach,Mar,2023,0.715583508,0.680446194,0.779433681,5.97E-05,0.687339706,0.535310734,0.694368132,0.363636364,0.352941176,0.397058824,0.466666667,0,0,0.342857143,0.571428571,0.152020299,Low
Candolim Beach,Apr,2023,0.78197065,0.807742782,0.730253353,0.000198961,0.908703327,0.472810734,0.574862637,0.181818182,0.411764706,0.433823529,0.433333333,0,0,0.4,0.714285714,0.131266878,Low
Mandarmani Beach,Feb,2022,0.210342418,0.215879265,0.201937407,0.007043234,0.548213037,0.190677966,0.819368132,0.454545455,0.058823529,0.25,0.266666667,0,0,0.342857143,0.571428571,0.121446484,Low
Alleppey Beach,Oct,2023,0.552760307,0.676509186,0.573770492,0.195439804,0.331246045,0.245409605,0.758241758,0.454545455,0.647058824,0.948529412,0.066666667,0,1,0.257142857,0.285714286,0.519119693,Medium
Marina Beach,Mar,2022,0.663172607,0.652887139,0.685543964,0.008336484,0.289444759,0.239759887,0.597527473,0.545454545,0.411764706,0.544117647,0.666666667,0,0,0.2,0.714285714,0.200756512,Low
Palolem Beach,Feb,2023,0.852550664,0.476377953,0.900894188,0,0.276987643,0.411016949,0.742445055,0.636363636,0.294117647,0.360294118,0.466666667,0,0,0.228571429,0.571428571,0.184509654,Low
Tarkarli Beach,Oct,2023,0.630328442,0.707349081,0.569299553,0.044348501,0.545381874,0.356638418,0.715659341,0.454545455,0.352941176,0.360294118,0.433333333,0,0,0.314285714,0.571428571,0.161049376,Low
Agonda Beach,Aug,2022,0.640810622,0.715223097,0.45752608,0.345934223,0.881490857,0.49329096,0.45260989,0.090909091,0.270588235,0.058823529,0.506666667,0,0,0.509714286,0.178571429,0.086026074,Low
Palolem Beach,Mar,2022,0.829489867,0.752624672,0.862891207,0.001094288,0.548412883,0.217867232,0.57760989,0.545454545,0.352941176,0.360294118,0.466666667,0,0,0.142857143,0.571428571,0.172034089,Low
Tarkarli Beach,Jan,2022,0.461914745,0.450131234,0.453800298,0.000318338,0.746094661,0.322740113,0.789835165,0.636363636,0.176470588,0.25,0.333333333,0,0,0.2,0.428571429,0.158705141,Low
Candolim Beach,Dec,2022,0.610761705,0.603018373,0.665424739,0.00974911,0.305565733,0.188206215,0.677884615,0.818181818,0.117647059,0.213235294,0.133333333,0,0,0.2,0,0.161191,Low
Diu Beach,Apr,2023,0.748427673,0.739501312,0.842026826,0.007421261,0.83985611,0.663841808,0.609203297,0.363636364,0.411764706,0.433823529,0.466666667,1,0,0.057142857,0.857142857,0.440781497,Medium
Marina Beach,Apr,2023,0.767295597,0.792650919,0.786140089,0.009888383,0.452153349,0.420903955,0.57967033,0.363636364,0.529411765,0.691176471,0.8,0,0,0.342857143,0.857142857,0.203212408,Low
Puri Beach,Jan,2023,0.307477289,0.25984252,0.356184799,0.003342552,0.258401892,0.233050847,0.98489011,0.818181818,0.294117647,0.360294118,0.466666667,0,0,0.314285714,0.571428571,0.212852121,Low
Marina Beach,Dec,2022,0.474493361,0.589895013,0.374813711,0.138377669,0.24088199,0.273658192,0.717032967,0.545454545,0.235294118,0.323529412,0.466666667,0,0,0.2,0.428571429,0.162471241,Low
Candolim Beach,May,2023,0.856044724,0.909448819,0.800298063,0.002685979,0.950671152,0.545903955,0.581730769,0.363636364,0.941176471,0.544117647,0.733333333,1,0,0.6,0.857142857,0.507336946,Medium
Mandarmani Beach,Jan,2022,0,0,0,0.029386602,0.552276588,0.161016949,0.95260989,0.545454545,0,0.323529412,0.2,0,0,0.485714286,0.428571429,0.131822004,Low
Puri Beach,May,2023,0.855345912,0.904199475,0.76900149,0.00443684,0.587616161,0.483757062,0.374313187,0.272727273,0.647058824,0.544117647,0.866666667,1,0,0.514285714,0.857142857,0.473888295,Medium
Alleppey Beach,Jul,2023,0.519916143,0.687664042,0.396423249,0.280794254,1,0.536370056,0.67032967,0.090909091,0.294117647,0.139705882,0.933333333,0,1,0.428571429,0.642857143,0.440992108,Medium
Marina Beach,Nov,2022,0.466107617,0.575459318,0.363636364,0.220449255,0.230556573,0.222810734,0.730082418,0.636363636,0.294117647,0.397058824,0.533333333,0,0,0.2,0.571428571,0.191998089,Low
